"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT3G15670",6172.69419138073,4.39705864294318,0.329498736032125,13.3446904710265,1.27197803630492e-40,4.23372997160878e-38
"AT1G27990",307.459359882193,4.93392726230195,0.37319912808801,13.2206291252063,6.67036787337994e-40,2.18656680212992e-37
"AT1G54860",288.287016326006,4.32384408476245,0.32759448547471,13.1987694435602,8.91799556137963e-40,2.87971393985744e-37
"AT3G15280",254.810163673096,5.50676459853207,0.417859791860175,13.1784984001877,1.16690309163292e-39,3.7126394687468e-37
"AT1G56600",440.824724964599,3.53015031753575,0.269093727282104,13.1186644638317,2.57431664670879e-39,8.07178850022385e-37
"AT1G72100",681.102993288947,3.92609616812101,0.300978317144043,13.0444485349489,6.83497544833882e-39,2.11249562606872e-36
"AT2G21820",468.588002621176,3.59011746863972,0.276138413300154,13.0011519430923,1.20514179392024e-38,3.67228770584007e-36
"AT1G15330",1253.88423178865,2.84404977392091,0.219076865041255,12.9819722104629,1.54841409664169e-38,4.65276930289485e-36
"AT3G62990",236.460480469553,5.46773388895148,0.422987698014396,12.9264607803449,3.19176457385996e-38,9.45942829526851e-36
"AT1G51140",1389.27377460132,2.91856597906668,0.226466900643585,12.8873842966568,5.30114762136454e-38,1.54986930794894e-35
"AT4G10250",356.457007055839,3.66285025883333,0.285086455828917,12.8482086186214,8.80250858427421e-38,2.5392303096103e-35
"AT4G27410",2390.41032111965,2.89531194418345,0.225525151305335,12.8380889112609,1.00320435372072e-37,2.85583239378259e-35
"AT2G39800",5032.21513428227,2.81149101170776,0.219786327975988,12.7919285862718,1.8190304983825e-37,5.11100322500069e-35
"AT5G13170",219.244895461161,4.98550755796251,0.390440451556924,12.7689319538543,2.44486156023742e-37,6.7813563917611e-35
"AT5G62480",752.600024956636,3.50316422320514,0.274577267659448,12.7583913011693,2.79922282547063e-37,7.66597288975405e-35
"AT5G41040",1281.08848451199,3.31406516142442,0.261082462614447,12.693557155229,6.42022440286388e-37,1.7362694369495e-34
"AT2G34610",225.924583925802,5.14450246921127,0.406127701559837,12.6672040578677,8.98605159597076e-37,2.40016328739293e-34
"AT4G31830",246.933498673125,6.34926827493297,0.502617444723208,12.6324072942385,1.39930849178875e-36,3.69195600242069e-34
"AT5G52310",22730.7364173782,2.96454678528529,0.23528198490122,12.599973544638,2.11215343728167e-36,5.50559513440831e-34
"AT1G30760",266.266955648874,-4.31235831674149,0.343201310142492,-12.5650986441487,3.28465112357813e-36,8.45993179269201e-34
"AT5G45310",611.346657851592,3.40014136417295,0.270870264409658,12.5526564223774,3.84394549739069e-36,9.78397186306442e-34
"AT2G23110",357.945317516381,3.48502982183148,0.27849951305049,12.5135939508794,6.29120371362864e-36,1.58267665516693e-33
"AT3G12500",515.295661711173,4.02713264387841,0.323470231734324,12.4497782138605,1.40234307439914e-35,3.48732096719833e-33
"AT3G53980",660.862646362574,3.33867616905011,0.269690374372447,12.379663815659,3.36750405733166e-35,8.279085259133e-33
"AT2G36640",702.858032176951,3.69195029708207,0.299028260139341,12.3464929213102,5.08815480515316e-35,1.23687897988189e-32
"AT3G02620",280.517799671427,-4.3054165583961,0.349588735635064,-12.3156615746639,7.46008949636319e-35,1.79332262504242e-32
"AT5G59310",3504.26372291328,12.7815011303937,1.04386399112335,12.244412336361,1.79975965929292e-34,4.27887914602224e-32
"AT5G22470",478.162056976922,3.62193821487331,0.296162769343114,12.2295527655509,2.16125280652499e-34,5.0824678770835e-32
"AT5G23220",964.096167014076,3.22904609540809,0.264447056695216,12.2105578929913,2.73010671514894e-34,6.35116761099433e-32
"AT4G38080",267.15690835275,3.75627164512743,0.30860135081252,12.1719222396062,4.38629575985655e-34,1.00954796557975e-31
"AT2G48130",305.418867911618,3.76892712538471,0.310955857790229,12.1204570712002,8.22988746917707e-34,1.87424858311206e-31
"AT4G37050",232.199425268264,4.33835763243151,0.359494082068738,12.0679528504783,1.55966008803171e-33,3.51492145880896e-31
"AT1G16850",1585.6619655041,2.69143707040821,0.223756824747112,12.0284021434879,2.51990401815304e-33,5.62042509615888e-31
"AT2G15970",28333.84904835,2.51262836761227,0.20924861913557,12.0078611653077,3.23093404016362e-33,7.13278142438162e-31
"AT1G27020",321.150683308494,-3.44586597338385,0.287060026213916,-12.0039910078459,3.38567780884331e-33,7.39890296912373e-31
"AT4G09600",231.51880387306,4.50973347212862,0.377332226477195,11.9516255323111,6.36676001125407e-33,1.37744852843482e-30
"AT1G64110",5080.91796130297,2.6813665625508,0.224445701761556,11.9466157805927,6.76232262999279e-33,1.44854307029598e-30
"AT1G05510",361.184426043803,3.81381748697789,0.3194975434402,11.9369227253283,7.59826045881898e-33,1.61165063751518e-30
"AT5G42290",183.830925691888,5.02657851986707,0.422418010128573,11.8995364765274,1.19006311989658e-32,2.49971025232645e-30
"AT4G21020",933.116047708945,3.65028752106312,0.307062823187359,11.8877547049577,1.37041227106172e-32,2.85085283504041e-30
"AT1G69260",1592.55896677649,2.86814644601929,0.2416108684691,11.8709330593963,1.67587997212051e-32,3.45311078065021e-30
"AT1G03790",1966.58734945862,2.74807464496716,0.233222740013679,11.783047591354,4.77353576357489e-32,9.74296662688139e-30
"AT5G01520",1854.55041166734,2.73718897322331,0.237040353503637,11.5473544177841,7.6127865145909e-31,1.53927697423527e-28
"AT1G62570",5158.57502149592,2.58274022350446,0.223735729185013,11.5437093257855,7.94247501653315e-31,1.59106895354347e-28
"AT1G45015",205.618553884267,-4.11131975890644,0.356862827876193,-11.5207285201831,1.03730227704552e-30,2.05890227191559e-28
"AT5G63350",1122.53135288806,3.39584199473616,0.29487854141162,11.5160702385458,1.09491624216211e-30,2.15350117265248e-28
"AT5G64100",2604.22530349659,-2.97545875697839,0.25960725811881,-11.4613850881498,2.06190649586446e-30,4.018860093516e-28
"AT3G11050",326.845890505601,3.82681232555742,0.336352404263501,11.3773895386205,5.41978196501751e-30,1.04693734654602e-27
"AT2G41190",9564.18995873581,3.0460567014375,0.268053033889452,11.3636344914258,6.34488641967728e-30,1.21479307690016e-27
"AT3G11430",219.399602461303,6.96680491627593,0.614868852467056,11.3305542935259,9.26167587052692e-30,1.75768734613026e-27
"AT3G17790",762.676214505368,2.94886967899446,0.264479116401941,11.1497259939152,7.18272077371877e-29,1.35128838208179e-26
"AT1G02205",3904.20482876608,2.31271377338763,0.207745949301793,11.1324133209834,8.72410434651261e-29,1.61321365416069e-26
"AT5G28510",612.713124922505,9.68062818476019,0.869556730802053,11.1328310642033,8.68330563685265e-29,1.61321365416069e-26
"AT1G05570",2162.01824526384,-2.39236985140626,0.214990462203762,-11.1277952839547,9.18799291478589e-29,1.68459514162197e-26
"AT3G48520",937.880013921872,3.21802757775802,0.292392519768945,11.0058478250435,3.58131293508634e-28,6.51106767652042e-26
"AT3G55090",181.191285995468,3.92697560156198,0.357419799660832,10.9870119262795,4.41294734958814e-28,7.95617632569495e-26
"AT5G57050",1367.02558071424,2.58637189853074,0.235555914604887,10.9798639650761,4.77642526712903e-28,8.54032732680468e-26
"AT2G36120",1633.06335028994,-2.30839215183509,0.210558544035301,-10.9631844312529,5.74418656484634e-28,1.01865144533156e-25
"AT2G35300",1608.54767307231,3.13702325188652,0.287721452401862,10.9029869886275,1.11534583845112e-27,1.96182985486911e-25
"AT1G80090",184.492396862877,4.72075708706222,0.433202870907476,10.8973356459369,1.18681726360866e-27,2.07070899178818e-25
"AT4G36610",164.837473233014,6.1849791879779,0.569113221557327,10.8677481978951,1.64203530551903e-27,2.84203470679234e-25
"AT1G22500",344.338094443252,-3.04237320181677,0.28064210615929,-10.840758157972,2.20634941675362e-27,3.78844203424321e-25
"AT4G33467",720.585994968713,2.82755933267478,0.261077946610865,10.8303262277807,2.47272784196284e-27,4.21239896542252e-25
"AT1G48130",1470.17871540476,2.93227358560518,0.27244637597273,10.7627549646639,5.16039635574656e-27,8.72227930910757e-25
"AT2G33380",1254.51955863618,2.35039747247305,0.218897272692557,10.737445211454,6.78972919267456e-27,1.1387270626629e-24
"AT4G17550",1068.83831558335,2.38807751421398,0.225139191918948,10.6071159528444,2.76141400704879e-26,4.59563015711543e-24
"AT5G43350",256.86220779559,-3.56337069396577,0.33666332424468,-10.5843744695397,3.52124803713898e-26,5.81543521248106e-24
"AT4G33120",692.051347444611,-2.82894632924572,0.268089075113945,-10.5522626315278,4.9588308413946e-26,8.12759888284637e-24
"AT5G46960",175.734774015379,-6.44114666571661,0.612484589392506,-10.5164224166118,7.25772632058902e-26,1.18060833793942e-23
"AT1G62710",756.583692549839,2.45387001270057,0.233726080964673,10.4989139533447,8.73796285067793e-26,1.41078974831655e-23
"AT3G23510",572.836668740909,-2.68789647893035,0.257446384697172,-10.4406068164137,1.61773267627976e-25,2.59256640380093e-23
"AT3G54940",815.914755026838,3.17934456354607,0.305413533117131,10.4099662221803,2.23300871580994e-25,3.55228996812853e-23
"AT2G38380",1539.24605471901,2.99495124406942,0.288954091433711,10.3647995749404,3.58509245711686e-25,5.66156754085572e-23
"AT1G65970",1056.46384684399,-2.88148783975997,0.278226601685504,-10.356622344175,3.90509214007032e-25,6.12222235147981e-23
"AT1G04220",2034.72074175345,2.47091735854025,0.238826400506085,10.3460813097055,4.35966614682883e-25,6.78571058177279e-23
"AT2G38310",954.042466675106,-2.38591866670091,0.231395363705088,-10.3110046307658,6.28409405289027e-25,9.71116963102006e-23
"AT3G51750",131.212667749206,5.69222070779005,0.55570831108413,10.2431808095242,1.26991300275578e-24,1.9485509088384e-22
"AT3G61890",1304.07924928613,2.52633916937761,0.246662426857663,10.2420915968505,1.28429407533754e-24,1.9567395999949e-22
"AT4G19230",1726.57990899359,2.50093615377032,0.244556805195924,10.2264018037312,1.51026861256297e-24,2.28494135893705e-22
"AT1G31750",244.532895861791,3.09387297996966,0.303440914182491,10.1959651298341,2.06681359665092e-24,3.10524390024602e-22
"AT4G07820",323.033648885884,-3.22380199595747,0.317535743144567,-10.1525641303623,3.22769551801959e-24,4.81594431257612e-22
"AT2G46740",467.27702589645,-2.58426695003045,0.254885798273741,-10.1389209109839,3.71176978386462e-24,5.50028351191172e-22
"AT5G64120",1028.9657052396,-3.17963655131888,0.315823707600054,-10.067757659743,7.67069432790228e-24,1.12894878764739e-21
"AT1G67360",1152.00190527419,2.70863162165842,0.269814057172299,10.0388825180029,1.02832480406065e-23,1.50323021188191e-21
"AT4G16160",282.035999679026,3.39749466973607,0.338940967706384,10.0238536897057,1.19740961598834e-23,1.73865483502737e-21
"AT3G48510",160.506114512441,4.11863575429634,0.412808215758666,9.97711672653374,1.91963920122162e-23,2.76875960789531e-21
"AT2G29090",149.515346179349,4.3524697250748,0.437901177955932,9.93938802674976,2.80545303877475e-23,4.01960109231071e-21
"AT5G03210",285.164442369357,3.01140605801726,0.306092292201586,9.83822897452775,7.70552806130137e-23,1.09677039214641e-20
"AT4G24130",205.576306613214,3.20219341496774,0.326705505355243,9.80146756782023,1.10961602340675e-22,1.56905507623563e-20
"AT3G17110",375.81310707135,2.67502522064257,0.273621950463949,9.77635462398703,1.42241610241253e-22,1.99830989452565e-20
"AT2G28490",857.359944835744,2.86815315393597,0.293636575851786,9.76769718014858,1.54933523939737e-22,2.16257212286208e-20
"AT3G57540",161.893302075175,3.71083210174604,0.380359084689254,9.75612848784123,1.73658397799976e-22,2.39510947861688e-20
"AT5G45690",208.445272404264,3.9091686796681,0.400692091844817,9.7560415072581,1.7380734372214e-22,2.39510947861688e-20
"AT5G44310",702.951872014301,3.53770303514653,0.363426191423058,9.73430952043945,2.15274692318568e-22,2.94776453690647e-20
"AT4G15910",1240.8847504646,2.16701296150492,0.22283302923377,9.72482835671343,2.36303590500601e-22,3.21536363552233e-20
